134,104,119,white
255,135,107,white
255,231,134,white
186,193,196,white
187,218,198,white
185,195,196,white
255,255,255,white
255,255,255,white
114,107,104,black
126,112,105,black
83,68,61,black
146,135,131,black
134,123,119,black
136,125,121,black
137,125,120,black
140,124,102,black
141,132,126,black
185,194,197,white
189,193,195,white
188,195,204,white
189,195,197,white
183,187,191,white
188,195,195,white
189,195,199,white
185,192,195,white
184,189,195,white
109,113,111,white
127,127,134,white
134,104,119,white
130,133,139,white
132,133,17,white
133,17,17,white
255,135,107,white
255,231,134,white
186,193,196,white
144,198,202,white
160,157,169,white
187,218,198,white
185,195,196,white
255,255,255,white
255,255,255,white
135,141,150,yellow
133,143,151,yellow
137,153,159,yellow
120,118,119,black
134,134,139,black
121,121,123,black
19,16,17,black
133,134,139,black
121,117,119,black
112,114,114,black
119,116,117,black
24,18,18,black
112,110,113,black
137,125,120,black
127,17,133,red
152,21,163,red
146,143,149,white
150,197,158,white
158,150,159,white
152,156,143,white
145,148,158,white
188,195,195,white
138,141,150,yellow
138,136,149,yellow
133,142,148,yellow
140,135,141,yellow
134,142,151,yellow
139,137,142,yellow
137,143,148,yellow
138,135,142,yellow
133,135,144,yellow
133,135,140,yellow
27,22,20,black
126,129,136,black
133,16,148,red
147,135,149,white
151,153,160,white
185,192,195,white
184,189,195,white
142,128,149,yellow
139,135,142,yellow
